Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_Type,Match_ID,Bowler,Player_ID
8,0,57,0,7.12,0.00,0.00,India,Nagpur,12/18/09,ODI ,2933,Suranga Lakmal,49619
10,0,55,2,5.50,27.50,30.00,India,Kolkata,12/24/09,ODI ,2935,Suranga Lakmal,49619
0,0,0,0,0.00,0.00,0.00,India,Delhi,12/27/09,ODI ,2936,Suranga Lakmal,49619
9,1,63,2,7.00,31.50,27.00,Bangladesh,Dhaka,01/04/10,ODI ,2937,Suranga Lakmal,49619
8,1,48,0,6.00,0.00,0.00,India,Dhaka,01/05/10,ODI ,2938,Suranga Lakmal,49619
10,0,75,0,7.50,0.00,0.00,India,Dhaka,01/10/10,ODI ,2941,Suranga Lakmal,49619
7,0,52,2,7.42,26.00,21.00,England,The Oval,06/28/11,ODI ,3165,Suranga Lakmal,49619
8,0,43,3,5.48,14.33,15.60,England,Leeds,07/01/11,ODI ,3167,Suranga Lakmal,49619
10,0,62,2,6.20,31.00,30.00,England,Lord's,07/03/11,ODI ,3168,Suranga Lakmal,49619
2,0,12,0,6.00,0.00,0.00,England,Nottingham,07/06/11,ODI ,3169,Suranga Lakmal,49619
5,0,39,0,7.80,0.00,0.00,Australia,Pallekele,08/10/11,ODI ,3175,Suranga Lakmal,49619
4,0,16,2,4.00,8.00,12.00,Pakistan,Dubai (DSC),11/11/11,ODI ,3212,Suranga Lakmal,49619
10,1,67,1,6.70,67.00,60.00,India,Dhaka,03/13/12,ODI ,3259,Suranga Lakmal,49619
8,1,37,2,4.62,18.50,24.00,Pakistan,Dhaka,03/15/12,ODI ,3260,Suranga Lakmal,49619
7,0,44,1,6.13,44.00,43.00,Bangladesh,Dhaka,03/20/12,ODI ,3265,Suranga Lakmal,49619
10,1,33,1,3.30,33.00,60.00,India,Port of Spain,07/11/13,ODI ,3388,Suranga Lakmal,49619
6,0,22,3,3.77,7.33,11.60,South Africa,Colombo (RPS),07/31/13,ODI ,3401,Suranga Lakmal,49619
10,0,73,2,7.30,36.50,30.00,Pakistan,Sharjah,12/18/13,ODI ,3445,Suranga Lakmal,49619
9,0,49,1,5.44,49.00,54.00,Pakistan,Abu Dhabi,12/25/13,ODI ,3448,Suranga Lakmal,49619
7,0,42,3,5.60,14.00,15.00,Pakistan,Abu Dhabi,12/27/13,ODI ,3450,Suranga Lakmal,49619
10,3,24,2,2.40,12.00,30.00,Bangladesh,Dhaka,02/22/14,ODI ,3471,Suranga Lakmal,49619
9,1,65,2,7.22,32.50,27.00,Pakistan,Fatullah,02/25/14,ODI ,3473,Suranga Lakmal,49619
7,2,30,2,4.28,15.00,21.00,Afghanistan,Dhaka,03/03/14,ODI ,3481,Suranga Lakmal,49619
10,0,32,2,3.20,16.00,30.00,Bangladesh,Dhaka,03/06/14,ODI ,3485,Suranga Lakmal,49619
10,2,41,0,4.10,0.00,0.00,Pakistan,Dhaka,03/08/14,ODI ,3486,Suranga Lakmal,49619
8,1,29,3,3.62,9.66,16.00,Ireland,Dublin,05/06/14,ODI ,3490,Suranga Lakmal,49619
6,0,34,0,5.66,0.00,0.00,England,The Oval,05/22/14,ODI ,3492,Suranga Lakmal,49619
8,0,30,4,3.75,7.50,12.00,England,Pallekele,12/13/14,ODI ,3567,Suranga Lakmal,49619
8,1,25,2,3.12,12.50,24.00,England,Colombo (RPS),12/16/14,ODI ,3569,Suranga Lakmal,49619
10,0,93,0,9.30,0.00,0.00,New Zealand,Dunedin,01/23/15,ODI ,3588,Suranga Lakmal,49619
7,1,31,0,4.42,0.00,0.00,New Zealand,Dunedin,01/25/15,ODI ,3590,Suranga Lakmal,49619
10,0,62,2,6.20,31.00,30.00,New Zealand,Christchurch,02/14/15,ODI ,3599,Suranga Lakmal,49619
10,1,36,2,3.60,18.00,30.00,Afghanistan,Dunedin,02/22/15,ODI ,3609,Suranga Lakmal,49619
8,0,49,2,6.12,24.50,24.00,Bangladesh,Melbourne,02/26/15,ODI ,3615,Suranga Lakmal,49619
7,0,71,1,9.26,71.00,46.00,England,Wellington,03/01/15,ODI ,3619,Suranga Lakmal,49619
5,1,21,1,4.20,21.00,30.00,Pakistan,Dambulla,07/11/15,ODI ,3664,Suranga Lakmal,49619
8,0,50,1,6.25,50.00,48.00,Pakistan,Colombo (RPS),07/22/15,ODI ,3671,Suranga Lakmal,49619
6,0,35,0,5.83,0.00,0.00,Pakistan,Hambantota,07/26/15,ODI ,3672,Suranga Lakmal,49619
5,0,15,3,3.00,5.00,10.00,West Indies,Colombo (RPS),11/01/15,ODI ,3701,Suranga Lakmal,49619
